status_id,status_message,link_name,status_type,status_link,status_published,num_likes,num_comments,num_shares
47298465905_10154465634780906,b'PM assures all will be heard after a film director was slapped in front of him.',"b'All good now, Najib says after TN50 slap drama'",link,http://dlvr.it/P9kT3D,2017-05-18 01:53:11,49,118,22
47298465905_10154465597450906,b'The 52-year-old man has been remanded for seven days for further investigation.',"b""MACC finds RM800k cash in police corporal's house""",link,http://dlvr.it/P9k0wX,2017-05-18 01:21:21,134,51,112
47298465905_10154465597420906,b'PKR leader asks this after minister moots idea to ban car park bays in central KL.',"b""'Would Ku Nan now take public transport?'""",link,http://dlvr.it/P9k0c8,2017-05-18 01:21:15,135,50,19
47298465905_10154465597325906,"b'COMMENT | These are the people locked up as the government deems them unwanted, deserving punishment for being in Malaysia illegally.'",b'Forgotten hellholes: Horror abuses in immigration detention centres',link,http://dlvr.it/P9k0NQ,2017-05-18 01:21:05,18,0,11
47298465905_10154462634320906,b'5 things you didn\xe2\x80\x99t know about hearing loss\n\nHearing loss is one of the most common health problems in the world. Do you have hearing loss?\n\nSign up for a free consultation at: http://bit.ly/2qhwK9v\n#Brandvoice',b'5 things you didn\xe2\x80\x99t know about hearing aids and hearing loss',link,http://bit.ly/2qhwK9v,2017-05-18 01:15:00,3,0,0
47298465905_10154465557110906,b'FT Minister Tengku Adnan says all mamak restaurants have to do is clean and disinfect their premises sometimes.',"b""'DBKL had to scrap 'unpopular' plan to limit number of mamak joints'""",link,http://dlvr.it/P9jX6g,2017-05-18 00:48:08,23,33,6
47298465905_10154465531020906,b'Video | KiniTV: Prime Minister Najib Abdul Razak says social media influencers should work on building a great future for the National Transformation 2050 (TN50) generation.',"b""Najib: It's easy to condemn""",link,http://www.kinitv.com/video/48382O8,2017-05-18 00:28:58,38,64,4
47298465905_10154465515420906,b'Padang Serai MP ticks the PM off for not condemning the assault at the TN50 dialogue.',"b""Najib gets heat from MP for being cool over 'mob justice'""",link,http://dlvr.it/P9j53v,2017-05-18 00:16:01,290,52,52
47298465905_10154465515395906,"b'Despite magistrate, who rejected the remand bid, ordering police to send him to hospital, this was not done.'","b'I thought family would send Balamurugan to hospital, says cop'",link,http://dlvr.it/P9j519,2017-05-18 00:15:59,16,13,4
47298465905_10154465515365906,"b'In a hard-hitting post, former premier claims the Malays are different from the Japanese.'","b'Dr M: Japanese willing to kill themselves out of shame, but...'",link,http://dlvr.it/P9j4xT,2017-05-18 00:15:55,495,68,151
47298465905_10154465515195906,b'The federal territories minister also blamed urban homelessness on foreign NGOs at a TN50 dialogue last night.',b'Ku Nan: City car park ban just a thought exercise',link,http://dlvr.it/P9j4vJ,2017-05-18 00:15:52,14,50,3
47298465905_10154465499500906,"b'#LETTERS Forty eight years have gone by. Many a tree would have grown and withered. However, the story of May 13, the stories of those buried in a mass grave, have hardly been told.'",b'Let us acknowledge the pain and suffering of May 13 first',link,http://dlvr.it/P9htZX,2017-05-18 00:03:07,171,45,75
47298465905_10154465484670906,b'Video | KiniTV: Federal Territories Minister Tengku Adnan Tengku Mansor says Malaysians have been spoiled by the generous BN-led government that they expect many things to be free.',b'Minister: Malaysians want everything for free',link,http://www.kinitv.com/video/48377O8,2017-05-17 23:50:26,52,187,43
47298465905_10154465483870906,b'Video | KiniTV: PAS vice-president Iskandar Abdul Samad says Menteri Besar Azmin Ali did not ask state executive councillors from PAS to resign.',"b'Azmin did not ask us to quit, says PAS exco'",link,http://www.kinitv.com/video/48375O8,2017-05-17 23:49:40,29,87,10
47298465905_10154465480470906,"b'Video | KiniTV: The Transformasi Nasional 2050 (TN50) dialogue session with people from the local entertainment scene on Wednesday night could have been a great platform to address important issues plaguing the industry, but...'","b""'How did you fall in love with Rosmah?'""",link,http://www.kinitv.com/video/48380O8,2017-05-17 23:48:36,107,99,45
47298465905_10154465431555906,"b'Malaysiakini news is independent from government/opposition influence and corporate interests. Malaysiakini is neither pro-opposition nor pro-government either. We believe in reporting fair and unbiased news and views that matter, holding governments of the day (federal and state) accountable.\n\nSupport Independent Media. Support Malaysiakini today. (y)\n\nhttps://subscription.malaysiakini.com/ (desktop)\nhttps://msub.malaysiakini.com/ (mobile)'",b'Timeline Photos',photo,https://www.facebook.com/MalaysiaKini/photos/a.384186960905.170045.47298465905/10154465431555906/?type=3,2017-05-17 23:30:56,16,3,5
47298465905_10154465430665906,b'ENJOY FULL ACCESS to all our current news & views that matter with just RM100 instead of RM150 per year SPECIAL DISCOUNT with our GROUP Package! (y)',b'Timeline Photos',photo,https://www.facebook.com/MalaysiaKini/photos/a.384186960905.170045.47298465905/10154465430665906/?type=3,2017-05-17 23:30:15,5,1,1
47298465905_10154465429670906,b'FREE Zunar Cartoon Book! Subscribe or renew your Malaysiakini subscription to 1 year from May 03 to May 30 and get 1 FREE 1 FUNNY MALAYSIA book by Zunar! Click here ~> https://goo.gl/Qo6XdO for more information:\n\n*Terms & Conditions Apply',b'Timeline Photos',photo,https://www.facebook.com/MalaysiaKini/photos/a.384186960905.170045.47298465905/10154465429670906/?type=3,2017-05-17 23:29:39,5,1,1
47298465905_10154465405270906,"b""Robert Gilbeau received 'gifts' from Singapore-based M'sian businessman 'Fat Leonard' Francis.""",b'Former US Navy admiral jailed 18 months in bribery scandal',link,http://dlvr.it/P9hC0c,2017-05-17 23:11:18,31,2,7
47298465905_10154465405235906,"b""A DAP Orang Asal politician says his state's rights in the Federation is slowly being eroded.""",b'Sabah DAP leader: Attack against Yeoh sign of increasing intolerance',link,http://dlvr.it/P9hBsg,2017-05-17 23:11:14,103,10,17
47298465905_10154465405080906,b'Trump says he looked forward to a quick resolution of the matter.',b'Special prosecutor appointed to probe Trump-Russia ties',link,http://dlvr.it/P9hBgN,2017-05-17 23:11:10,4,0,0
